disease_id,location_id,eventdate,reportdate,count,eventtype,eventtype2,agemin,agemax,gender,socialstruct,synthetic,source
6,NA,NA,2017-09-10,36,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,55,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,86,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,82,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,237,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,599,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,146,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,85,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,715,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,69,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,13,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,109,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,81,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,213,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,505,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,242,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-03,118,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,85,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,715,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,180,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,127,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,119,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,16,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,51,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,66,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,565,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-27,427,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,715,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,214,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,91,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,97,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,313,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,662,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,66,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,565,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-20,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,766,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,119,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,944,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,43,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,280,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,133,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,83,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-13,437,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,290,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,262,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,747,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,109,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,69,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,164,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,686,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,247,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-08-06,334,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-07-30,212,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-07-30,690,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-07-30,406,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
