disease_id,location_id,eventdate,reportdate,count,eventtype2,agemin,agemax,gender,socialstruct,synthetic,source
5,47,NA,1950-09-16,146,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-09-23,201,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-09-30,217,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-10-07,289,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-10-14,303,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-10-21,366,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-10-28,471,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-11-04,512,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-11-11,544,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-11-18,766,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-11-25,827,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-12-02,1210,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-12-09,1236,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-12-16,1534,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-12-23,1556,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-12-30,1922,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-01-06,2753,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-01-13,2425,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-01-20,2185,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-01-27,2210,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-02-03,2368,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-02-10,2929,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-02-17,3178,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-02-24,3746,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-03-03,3315,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-03-10,3501,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-03-17,3136,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-03-24,2518,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-03-31,2360,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-04-07,2083,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-04-14,1610,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-04-21,1211,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-04-28,1017,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-05-05,871,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-05-12,881,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-05-19,701,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-05-26,748,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-06-02,540,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-06-09,420,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-06-16,426,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-06-23,335,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-06-30,230,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-07-07,226,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-07-14,187,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-07-21,155,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-07-28,114,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-08-04,93,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-08-11,69,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-08-18,58,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-08-25,51,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-09-01,68,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-09-08,50,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-09-15,35,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-09-22,41,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-09-29,18,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-10-06,22,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-10-13,32,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-10-20,71,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-10-27,53,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-11-03,65,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-11-10,50,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-11-17,47,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-11-24,22,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-12-01,28,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-12-08,30,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-12-15,16,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-12-22,28,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1951-12-29,19,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-01-05,46,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-01-12,33,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-01-19,44,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-01-26,41,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-02-02,50,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-02-09,65,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-02-16,103,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-02-23,123,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-03-01,153,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-03-08,218,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-03-15,256,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-03-22,201,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-03-29,270,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-04-05,231,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-04-12,210,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-04-19,294,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-04-26,275,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-05-03,222,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-05-10,240,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-05-17,320,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-05-24,330,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-05-31,519,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-06-07,553,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-06-14,745,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-06-21,639,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-06-28,714,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-07-05,605,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-07-12,791,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-07-19,730,NA,NA,NA,NA,NA,0,Bolker webpage
