WHO report date,var,val
2014-03-16,incidence Deaths-- Guinea,0
2014-03-17,incidence Deaths-- Guinea,0
2014-03-18,incidence Deaths-- Guinea,0
2014-03-19,incidence Deaths-- Guinea,0
2014-03-20,incidence Deaths-- Guinea,0
2014-03-21,incidence Deaths-- Guinea,0
2014-03-22,incidence Deaths-- Guinea,0
2014-03-23,incidence Deaths-- Guinea,0
2014-03-24,incidence Deaths-- Guinea,0
2014-03-25,incidence Deaths-- Guinea,59
2014-03-26,incidence Deaths-- Guinea,1
2014-03-27,incidence Deaths-- Guinea,6
2014-03-31,incidence Deaths-- Guinea,4
2014-04-01,incidence Deaths-- Guinea,10
2014-04-02,incidence Deaths-- Guinea,3
2014-04-07,incidence Deaths-- Guinea,12
2014-04-10,incidence Deaths-- Guinea,6
2014-04-17,incidence Deaths-- Guinea,21
2014-04-21,incidence Deaths-- Guinea,7
2014-04-23,incidence Deaths-- Guinea,7
2014-04-30,incidence Deaths-- Guinea,10
2014-05-05,incidence Deaths-- Guinea,9
2014-05-14,incidence Deaths-- Guinea,2
2014-05-23,incidence Deaths-- Guinea,17
2014-05-27,incidence Deaths-- Guinea,0
2014-05-28,incidence Deaths-- Guinea,12
2014-06-02,incidence Deaths-- Guinea,7
2014-06-05,incidence Deaths-- Guinea,22
2014-06-10,incidence Deaths-- Guinea,21
2014-06-11,incidence Deaths-- Guinea,5
2014-06-18,incidence Deaths-- Guinea,23
2014-06-24,incidence Deaths-- Guinea,6
2014-07-02,incidence Deaths-- Guinea,33
2014-07-07,incidence Deaths-- Guinea,2
2014-07-08,incidence Deaths-- Guinea,2
2014-07-14,incidence Deaths-- Guinea,2
2014-07-16,incidence Deaths-- Guinea,-5
2014-07-21,incidence Deaths-- Guinea,6
2014-07-24,incidence Deaths-- Guinea,4
2014-07-28,incidence Deaths-- Guinea,5
2014-07-31,incidence Deaths-- Guinea,20
2014-08-03,incidence Deaths-- Guinea,7
2014-08-04,incidence Deaths-- Guinea,12
2014-08-08,incidence Deaths-- Guinea,9
2014-08-12,incidence Deaths-- Guinea,6
2014-08-13,incidence Deaths-- Guinea,4
2014-08-15,incidence Deaths-- Guinea,3
2014-08-19,incidence Deaths-- Guinea,14
2014-08-21,incidence Deaths-- Guinea,2
2014-08-22,incidence Deaths-- Guinea,10
2014-08-28,incidence Deaths-- Guinea,24
2014-09-06,incidence Deaths-- Guinea,87
