"","date","city","count"
"511",1957-10-19,"London",27
"512",1957-10-26,"London",23
"513",1957-11-02,"London",23
"514",1957-11-09,"London",30
"515",1957-11-16,"London",36
"516",1957-11-23,"London",31
"517",1957-11-30,"London",37
"518",1957-12-07,"London",44
"519",1957-12-14,"London",40
"520",1957-12-21,"London",35
"521",1957-12-28,"London",23
"522",1958-01-04,"London",27
"523",1958-01-11,"London",39
"524",1958-01-18,"London",18
"525",1958-01-25,"London",39
"526",1958-02-01,"London",56
"527",1958-02-08,"London",64
"528",1958-02-15,"London",89
"529",1958-02-22,"London",153
"530",1958-03-01,"London",110
"531",1958-03-08,"London",210
"532",1958-03-15,"London",140
"533",1958-03-22,"London",232
"534",1958-03-29,"London",165
"535",1958-04-05,"London",250
"536",1958-04-12,"London",281
"537",1958-04-19,"London",444
"538",1958-04-26,"London",294
"539",1958-05-03,"London",283
"540",1958-05-10,"London",349
"541",1958-05-17,"London",436
"542",1958-05-24,"London",596
"543",1958-05-31,"London",549
"544",1958-06-07,"London",592
"545",1958-06-14,"London",457
"546",1958-06-21,"London",515
"547",1958-06-28,"London",475
"548",1958-07-05,"London",483
"549",1958-07-12,"London",537
"550",1958-07-19,"London",568
"551",1958-07-26,"London",508
"552",1958-08-02,"London",461
"553",1958-08-09,"London",318
"554",1958-08-16,"London",283
"555",1958-08-23,"London",221
"556",1958-08-30,"London",199
"557",1958-09-06,"London",118
"558",1958-09-13,"London",94
"559",1958-09-20,"London",100
"560",1958-09-27,"London",120
"561",1958-10-04,"London",122
"562",1958-10-11,"London",164
"563",1958-10-18,"London",198
"564",1958-10-25,"London",243
"565",1958-11-01,"London",300
"566",1958-11-08,"London",307
"567",1958-11-15,"London",326
"568",1958-11-22,"London",387
"569",1958-11-29,"London",398
"570",1958-12-06,"London",561
"571",1958-12-13,"London",633
"572",1958-12-20,"London",666
"573",1958-12-27,"London",617
"574",1959-01-03,"London",1466
"575",1959-01-10,"London",1068
"576",1959-01-17,"London",1001
"577",1959-01-24,"London",983
"578",1959-01-31,"London",1302
"579",1959-02-07,"London",1438
"580",1959-02-14,"London",1400
"581",1959-02-21,"London",1561
"582",1959-02-28,"London",1419
"583",1959-03-07,"London",1360
"584",1959-03-14,"London",1485
"585",1959-03-21,"London",1262
"586",1959-03-28,"London",1360
"587",1959-04-04,"London",1388
"588",1959-04-11,"London",1376
"589",1959-04-18,"London",972
"590",1959-04-25,"London",695
"591",1959-05-02,"London",675
"592",1959-05-09,"London",638
"593",1959-05-16,"London",719
"594",1959-05-23,"London",673
"595",1959-05-30,"London",687
"596",1959-06-06,"London",572
"597",1959-06-13,"London",585
"598",1959-06-20,"London",405
"599",1959-06-27,"London",404
"600",1959-07-04,"London",342
"601",1959-07-11,"London",310
"602",1959-07-18,"London",197
"603",1959-07-25,"London",180
"604",1959-08-01,"London",133
"605",1959-08-08,"London",117
"606",1959-08-15,"London",113
"607",1959-08-22,"London",90
"608",1959-08-29,"London",68
"609",1959-09-05,"London",43
"610",1959-09-12,"London",32
"611",1959-09-19,"London",29
"612",1959-09-26,"London",20
"613",1959-10-03,"London",26
"614",1959-10-10,"London",36
"615",1959-10-17,"London",25
"616",1959-10-24,"London",26
"617",1959-10-31,"London",15
"618",1959-11-07,"London",22
"619",1959-11-14,"London",19
"620",1959-11-21,"London",16
"621",1959-11-28,"London",19
"622",1959-12-05,"London",26
"623",1959-12-12,"London",16
"624",1959-12-19,"London",23
"625",1959-12-26,"London",18
"626",1960-01-02,"London",19
"627",1960-01-09,"London",17
"628",1960-01-16,"London",17
"629",1960-01-23,"London",16
"630",1960-01-30,"London",29
"631",1960-02-06,"London",44
"632",1960-02-13,"London",34
"633",1960-02-20,"London",47
"634",1960-02-27,"London",60
"635",1960-03-05,"London",95
"636",1960-03-12,"London",90
"637",1960-03-19,"London",100
"638",1960-03-26,"London",83
"639",1960-04-02,"London",86
"640",1960-04-09,"London",70
"641",1960-04-16,"London",81
"642",1960-04-23,"London",96
"643",1960-04-30,"London",112
"644",1960-05-07,"London",106
"645",1960-05-14,"London",93
"646",1960-05-21,"London",88
"647",1960-05-28,"London",99
"648",1960-06-04,"London",137
"649",1960-06-11,"London",146
"650",1960-06-18,"London",122
"651",1960-06-25,"London",134
"652",1960-07-02,"London",134
"653",1960-07-09,"London",101
"654",1960-07-16,"London",107
"655",1960-07-23,"London",163
"656",1960-07-30,"London",139
"657",1960-08-06,"London",147
"658",1960-08-13,"London",133
"659",1960-08-20,"London",114
"660",1960-08-27,"London",80
"661",1960-09-03,"London",61
"662",1960-09-10,"London",46
"663",1960-09-17,"London",54
"664",1960-09-24,"London",48
"665",1960-10-01,"London",86
"666",1960-10-08,"London",112
"667",1960-10-15,"London",173
"668",1960-10-22,"London",183
"669",1960-10-29,"London",261
"670",1960-11-05,"London",288
"671",1960-11-12,"London",301
"672",1960-11-19,"London",302
"673",1960-11-26,"London",400
"674",1960-12-03,"London",400
"675",1960-12-10,"London",499
"676",1960-12-17,"London",621
"677",1960-12-24,"London",726
"678",1960-12-31,"London",910
"679",1961-01-07,"London",1390
"680",1961-01-14,"London",1310
"681",1961-01-21,"London",1087
"682",1961-01-28,"London",1552
"683",1961-02-04,"London",2008
"684",1961-02-11,"London",2797
"685",1961-02-18,"London",3204
"686",1961-02-25,"London",3339
"687",1961-03-04,"London",3403
"688",1961-03-11,"London",2986
"689",1961-03-18,"London",3032
"690",1961-03-25,"London",2513
"691",1961-04-01,"London",2517
"692",1961-04-08,"London",2857
"693",1961-04-15,"London",2391
"694",1961-04-22,"London",1881
"695",1961-04-29,"London",1330
"696",1961-05-06,"London",992
"697",1961-05-13,"London",937
"698",1961-05-20,"London",873
"699",1961-05-27,"London",727
"700",1961-06-03,"London",682
"701",1961-06-10,"London",597
"702",1961-06-17,"London",440
"703",1961-06-24,"London",420
"704",1961-07-01,"London",347
"705",1961-07-08,"London",304
"706",1961-07-15,"London",210
"707",1961-07-22,"London",185
"708",1961-07-29,"London",190
"709",1961-08-05,"London",145
"710",1961-08-12,"London",120
"711",1961-08-19,"London",92
"712",1961-08-26,"London",107
"713",1961-09-02,"London",72
"714",1961-09-09,"London",49
"715",1961-09-16,"London",47
"716",1961-09-23,"London",39
"717",1961-09-30,"London",36
"718",1961-10-07,"London",40
"719",1961-10-14,"London",44
"720",1961-10-21,"London",45
"721",1961-10-28,"London",36
"722",1961-11-04,"London",51
"723",1961-11-11,"London",40
"724",1961-11-18,"London",33
"725",1961-11-25,"London",40
"726",1961-12-02,"London",30
"727",1961-12-09,"London",39
"728",1961-12-16,"London",20
"729",1961-12-23,"London",19
"730",1961-12-30,"London",26
"731",1962-01-06,"London",24
"732",1962-01-13,"London",30
"733",1962-01-20,"London",28
"734",1962-01-27,"London",33
"735",1962-02-03,"London",45
"736",1962-02-10,"London",48
"737",1962-02-17,"London",44
"738",1962-02-24,"London",77
"739",1962-03-03,"London",59
"740",1962-03-10,"London",83
"741",1962-03-17,"London",91
"742",1962-03-24,"London",112
"743",1962-03-31,"London",146
"744",1962-04-07,"London",109
"745",1962-04-14,"London",142
"746",1962-04-21,"London",131
"747",1962-04-28,"London",118
"748",1962-05-05,"London",109
"749",1962-05-12,"London",131
"750",1962-05-19,"London",85
"751",1962-05-26,"London",66
"752",1962-06-02,"London",66
"753",1962-06-09,"London",54
"754",1962-06-16,"London",68
"755",1962-06-23,"London",73
"756",1962-06-30,"London",65
"757",1962-07-07,"London",75
"758",1962-07-14,"London",68
"759",1962-07-21,"London",128
"760",1962-07-28,"London",137
"761",1962-08-04,"London",130
"762",1962-08-11,"London",112
"763",1962-08-18,"London",117
"764",1962-08-25,"London",91
"765",1962-09-01,"London",94
